transaction_id,card_id,timestamp,amount,merchant_category,country,card_present,is_fraud
txn_0000000,card_00706,2026-01-26T22:09:50Z,150.5,pharmacy,AE,False,False
txn_0000001,card_00131,2026-01-11T07:32:21Z,198.64,grocery,US,False,False
txn_0000002,card_00241,2026-01-07T02:41:55Z,91.74,pharmacy,GB,True,False
txn_0000003,card_00635,2026-01-27T23:16:45Z,69.4,fuel,GB,True,False
txn_0000004,card_00420,2026-01-03T00:49:58Z,53.94,entertainment,IN,True,False
txn_0000005,card_00503,2026-01-03T07:17:07Z,78.98,utilities,DE,False,False
txn_0000006,card_00499,2026-01-09T02:23:36Z,138.71,fuel,IN,True,False
txn_0000007,card_00494,2026-01-18T12:47:36Z,377.8,restaurant,AE,False,False
txn_0000008,card_00197,2026-01-07T12:44:54Z,17.31,online_retail,IN,True,False
txn_0000009,card_00212,2026-01-24T15:39:06Z,36.03,entertainment,SG,True,False
txn_0000010,card_00822,2026-01-25T13:57:07Z,25.4,online_retail,DE,True,False
txn_0000011,card_00689,2026-01-29T19:51:58Z,93.74,atm_withdrawal,GB,True,False
txn_0000012,card_00164,2026-01-20T15:48:18Z,6.25,electronics,SG,False,False
txn_0000013,card_00650,2026-01-27T23:20:32Z,75.01,restaurant,SG,False,False
txn_0000014,card_00796,2026-01-14T18:40:54Z,43.08,restaurant,GB,False,False
txn_0000015,card_00727,2026-01-25T02:31:06Z,252.3,grocery,SG,False,False
txn_0000016,card_00158,2026-01-19T13:09:01Z,89.35,online_retail,SG,True,False
txn_0000017,card_00609,2026-01-23T07:44:19Z,60.57,pharmacy,SG,False,False
txn_0000018,card_00486,2026-01-09T00:59:05Z,18.7,restaurant,GB,False,False
txn_0000019,card_00567,2026-01-14T18:26:06Z,35.16,restaurant,AE,False,False
txn_0000020,card_00753,2026-01-22T17:36:30Z,311.05,restaurant,AE,True,False
txn_0000021,card_00857,2026-01-07T23:53:45Z,24.61,entertainment,SG,True,False
txn_0000022,card_00611,2026-01-28T20:28:13Z,141.61,fuel,IN,True,False
txn_0000023,card_00020,2026-01-13T17:24:02Z,74.15,pharmacy,IN,False,False
txn_0000024,card_00585,2026-01-12T09:55:08Z,239.71,restaurant,SG,True,False
txn_0000025,card_00798,2026-01-28T09:47:21Z,95.92,grocery,IN,True,False
